id	amplitude	channel	depth	firing_rate	group	n_spikes
0	26.42770958	50	38.00000000	1.6 spk/s	mua	3785
1	16.27658081	8	25.00000000	1.9 spk/s	noise	4638
2	17.40668678	26	7.00000000	0.9 spk/s	noise	2044
3	26.50762177	25	10.00000000	3.0 spk/s	good	7242
4	29.81119156	10	26.00000000	2.2 spk/s	mua	5353
7	43.86191177	16	29.00000000	2.0 spk/s	mua	4874
8	26.31017303	6	24.00000000	3.6 spk/s	mua	8470
10	19.68478775	4	13.00000000	3.8 spk/s	good	9023
11	35.75456619	48	37.00000000	2.1 spk/s	good	4914
13	33.13138962	26	7.00000000	0.7 spk/s	noise	1653
16	36.05694199	6	24.00000000	1.0 spk/s	mua	2486
17	37.30950165	43	34.00000000	6.6 spk/s	good	15676
19	35.34782410	2	12.00000000	21.1 spk/s	noise	50229
20	32.24848175	4	13.00000000	2.6 spk/s	noise	6320
21	40.34576416	14	28.00000000	0.8 spk/s	mua	1871
22	17.46104240	2	12.00000000	0.0 spk/s	noise	2
23	28.32562065	46	36.00000000	1.3 spk/s	good	2996
24	16.86137009	8	25.00000000	1.3 spk/s	noise	3060
25	20.12968063	23	32.00000000	6.9 spk/s	mua	16542
26	33.69977570	23	32.00000000	4.7 spk/s	good	11188
27	30.59728241	44	35.00000000	0.6 spk/s	mua	1405
28	16.51008606	63	51.00000000	0.1 spk/s	noise	293
29	15.78421497	15	21.00000000	2.3 spk/s	noise	5446
30	23.65269661	19	19.00000000	0.9 spk/s	good	2155
31	15.55877876	15	21.00000000	0.7 spk/s	noise	1663
32	21.27880096	22	17.00000000	0.9 spk/s	mua	2232
36	35.24158096	16	29.00000000	2.9 spk/s	good	6799
37	38.24896622	52	39.00000000	5.4 spk/s	good	12954
38	20.26556778	33	50.00000000	1.9 spk/s	mua	4493
39	41.91184235	16	29.00000000	0.1 spk/s	mua	343
40	34.54445648	14	28.00000000	4.2 spk/s	good	10011
41	32.82931519	41	33.00000000	1.6 spk/s	mua	3915
42	22.26205826	17	20.00000000	0.5 spk/s	mua	1227
43	33.07786560	9	11.00000000	2.5 spk/s	mua	5893
45	30.71960449	51	43.00000000	5.3 spk/s	good	12717
48	48.27972794	48	37.00000000	1.5 spk/s	mua	3505
49	31.19109726	50	38.00000000	1.0 spk/s	good	2469
50	30.56811905	4	13.00000000	0.3 spk/s	noise	607
51	27.54896545	7	8.00000000	1.0 spk/s	noise	2461
