id	amplitude	channel	depth	firing_rate	group	n_spikes
0	23.04967117	17	20.00000000	0.5 spk/s	good	1240
2	20.29260635	61	60.00000000	0.3 spk/s	noise	684
4	19.10849762	18	30.00000000	0.1 spk/s	noise	266
5	16.37742424	15	21.00000000	0.8 spk/s	noise	2063
6	20.39521980	12	27.00000000	0.6 spk/s	noise	1546
7	21.80383492	54	59.00000000	0.5 spk/s	noise	1354
8	24.18155098	23	32.00000000	4.2 spk/s	good	11063
10	29.15048790	23	32.00000000	3.3 spk/s	mua	8640
11	25.87176323	14	28.00000000	6.1 spk/s	good	16126
12	13.56777573	20	18.00000000	0.4 spk/s	noise	1127
13	20.82921600	61	60.00000000	0.3 spk/s	noise	748
14	17.11410522	36	57.00000000	0.5 spk/s	noise	1311
16	16.85938644	59	61.00000000	0.2 spk/s	noise	465
17	22.37697983	2	12.00000000	1.3 spk/s	good	3518
18	20.74366760	29	16.00000000	1.3 spk/s	noise	3342
20	36.16571808	7	8.00000000	24.2 spk/s	noise	63979
22	20.64090157	4	13.00000000	0.7 spk/s	good	1921
23	26.45505142	55	41.00000000	0.4 spk/s	mua	1057
24	21.73930359	51	43.00000000	0.3 spk/s	mua	810
27	25.32520294	51	43.00000000	0.0 spk/s	mua	110
28	20.02631950	27	9.00000000	2.1 spk/s	mua	5428
29	16.84049797	14	28.00000000	1.0 spk/s	noise	2617
31	23.59009933	29	16.00000000	3.2 spk/s	noise	8524
34	17.27822876	9	11.00000000	4.3 spk/s	mua	11461
35	18.88739014	45	46.00000000	0.4 spk/s	mua	985
36	24.93735504	57	40.00000000	0.8 spk/s	mua	2106
38	26.58117676	49	44.00000000	2.6 spk/s	mua	6764
39	25.65317154	22	17.00000000	15.7 spk/s	good	41527
41	22.65464020	16	29.00000000	0.3 spk/s	noise	667
43	25.29182625	19	19.00000000	0.3 spk/s	mua	672
44	26.40303612	48	37.00000000	3.4 spk/s	mua	8892
45	16.96712685	19	19.00000000	0.6 spk/s	noise	1522
46	18.93028641	38	58.00000000	0.0 spk/s	noise	53
47	20.71379852	62	62.00000000	0.9 spk/s	noise	2387
48	24.39728546	6	24.00000000	1.1 spk/s	mua	2874
49	19.02080727	61	60.00000000	0.0 spk/s	noise	44
50	19.71710587	61	60.00000000	0.4 spk/s	noise	1033
51	20.33825493	23	32.00000000	3.5 spk/s	noise	9205
52	29.23195648	14	28.00000000	2.9 spk/s	noise	7573
53	17.23990059	58	52.00000000	3.0 spk/s	mua	7860
54	16.30475426	7	8.00000000	1.0 spk/s	noise	2556
56	36.35897446	52	39.00000000	1.6 spk/s	mua	4281
58	22.35363007	24	6.00000000	1.6 spk/s	good	4128
59	22.40642738	10	26.00000000	0.7 spk/s	noise	1779
60	19.09836197	57	40.00000000	0.5 spk/s	noise	1385
61	17.51598740	36	57.00000000	0.6 spk/s	noise	1508
62	29.92319870	19	19.00000000	0.7 spk/s	mua	1972
63	17.19948387	11	23.00000000	0.2 spk/s	noise	659
64	18.99296570	42	47.00000000	0.1 spk/s	mua	262
65	18.99699593	4	13.00000000	5.8 spk/s	noise	15297
66	16.96928406	36	57.00000000	1.0 spk/s	noise	2654
67	16.69065857	51	43.00000000	2.0 spk/s	mua	5163
68	15.52776718	36	57.00000000	0.1 spk/s	noise	246
69	38.84226990	52	39.00000000	0.2 spk/s	mua	466
70	17.10489273	20	18.00000000	0.4 spk/s	noise	959
71	14.00076675	45	46.00000000	0.8 spk/s	mua	2105
74	26.78966141	1	14.00000000	0.6 spk/s	good	1501
75	19.67088699	36	57.00000000	2.1 spk/s	noise	5634
77	22.93404770	41	33.00000000	2.4 spk/s	good	6370
79	11.87896442	51	43.00000000	2.0 spk/s	noise	5342
80	18.41012192	42	47.00000000	0.1 spk/s	mua	303
81	20.82920837	61	60.00000000	0.9 spk/s	noise	2328
86	24.88891983	16	29.00000000	3.0 spk/s	mua	7869
87	18.66546249	40	48.00000000	2.2 spk/s	mua	5781
88	26.68791962	22	17.00000000	10.1 spk/s	good	26730
