id	amplitude	channel	depth	firing_rate	group	n_spikes
0	43.30028915	8	25.00000000	15.5 spk/s	noise	32825
1	37.85620117	23	32.00000000	0.2 spk/s	noise	516
2	17.48114014	60	53.00000000	4.1 spk/s	good	8749
4	32.34934998	48	37.00000000	4.2 spk/s	good	8844
5	30.88086700	16	29.00000000	0.2 spk/s	noise	446
7	35.61124420	51	43.00000000	2.5 spk/s	mua	5222
8	18.18203354	14	28.00000000	0.9 spk/s	mua	1956
9	15.51499176	57	40.00000000	2.8 spk/s	noise	5996
13	11.27612686	29	16.00000000	10.9 spk/s	noise	23174
16	20.54220581	33	50.00000000	0.2 spk/s	good	441
17	15.18940449	10	26.00000000	9.4 spk/s	noise	20028
21	26.72923470	6	24.00000000	3.9 spk/s	good	8283
22	28.42697525	51	43.00000000	0.7 spk/s	mua	1413
23	20.10408974	34	64.00000000	0.0 spk/s	mua	94
24	5.18578434	7	8.00000000	0.0 spk/s	noise	7
25	21.75067329	63	51.00000000	4.6 spk/s	good	9790
27	15.97916603	11	23.00000000	1.2 spk/s	mua	2575
28	15.84649181	31	15.00000000	1.7 spk/s	good	3584
29	14.83384228	53	42.00000000	1.6 spk/s	noise	3328
30	42.01119995	0	3.00000000	0.5 spk/s	noise	1051
31	17.89713287	52	39.00000000	3.0 spk/s	noise	6360
32	29.71536255	19	19.00000000	11.8 spk/s	noise	25035
33	25.72280884	48	37.00000000	0.6 spk/s	good	1267
38	26.45610428	37	55.00000000	8.5 spk/s	good	18099
39	17.51190567	58	52.00000000	2.1 spk/s	good	4474
40	27.26234245	58	52.00000000	2.9 spk/s	good	6086
42	19.30059814	33	50.00000000	1.7 spk/s	good	3710
43	25.96331406	16	29.00000000	3.9 spk/s	good	8185
44	20.56337166	23	32.00000000	4.7 spk/s	noise	9923
45	42.68907928	22	17.00000000	15.8 spk/s	noise	33598
46	41.26140976	13	22.00000000	0.5 spk/s	noise	1030
47	26.61096954	20	18.00000000	13.4 spk/s	noise	28330
48	30.55175209	8	25.00000000	0.2 spk/s	noise	443
50	17.36494446	55	41.00000000	3.5 spk/s	noise	7525
52	42.26080704	30	2.00000000	0.4 spk/s	noise	772
53	41.26139069	13	22.00000000	0.7 spk/s	noise	1430
54	26.44058609	37	55.00000000	1.9 spk/s	good	3957
55	9.68548203	2	12.00000000	5.5 spk/s	noise	11605
56	41.38696289	8	25.00000000	0.9 spk/s	noise	1937
57	30.55174828	8	25.00000000	0.0 spk/s	noise	99
58	28.34038544	34	64.00000000	0.7 spk/s	noise	1441
59	26.84126663	28	1.00000000	0.0 spk/s	noise	14
62	42.26081848	30	2.00000000	0.8 spk/s	noise	1671
64	25.78136063	20	18.00000000	13.6 spk/s	noise	28792
65	14.13673592	1	14.00000000	2.2 spk/s	good	4579
66	22.99087906	16	29.00000000	2.2 spk/s	mua	4658
67	18.90776062	14	28.00000000	1.5 spk/s	good	3205
68	27.04722977	4	13.00000000	5.1 spk/s	noise	10893
69	20.26506042	34	64.00000000	0.0 spk/s	mua	65
70	21.17785645	42	47.00000000	4.6 spk/s	good	9656
72	14.97742271	50	38.00000000	2.3 spk/s	noise	4912
73	25.19568253	34	64.00000000	0.3 spk/s	noise	723
74	17.52774048	2	12.00000000	1.3 spk/s	good	2799
75	42.01120758	0	3.00000000	0.8 spk/s	noise	1618
76	12.91313744	18	30.00000000	5.8 spk/s	noise	12407
77	20.50161362	40	48.00000000	0.5 spk/s	noise	1155
78	25.75242424	53	42.00000000	1.3 spk/s	noise	2742
79	17.44420242	17	20.00000000	1.5 spk/s	good	3119
80	10.06132126	4	13.00000000	5.7 spk/s	noise	12114
83	20.80717278	39	54.00000000	3.7 spk/s	mua	7849
84	25.19566345	34	64.00000000	0.1 spk/s	noise	125
85	20.11503220	40	48.00000000	9.9 spk/s	good	20900
87	8.88619232	7	8.00000000	31.6 spk/s	noise	66961
89	15.04126930	18	30.00000000	5.7 spk/s	noise	12141
90	19.74786758	21	31.00000000	2.1 spk/s	good	4446
91	20.24854660	52	39.00000000	4.0 spk/s	noise	8450
92	18.20871735	52	39.00000000	2.9 spk/s	noise	6236
93	6.35682392	8	25.00000000	9.1 spk/s	noise	19278
95	23.03728485	21	31.00000000	2.1 spk/s	mua	4512
97	26.01162720	34	64.00000000	0.8 spk/s	noise	1761
98	16.14099884	36	57.00000000	0.4 spk/s	good	883
99	15.57501411	49	44.00000000	2.0 spk/s	noise	4309
101	40.12333679	52	39.00000000	0.1 spk/s	mua	194
103	15.98987389	58	52.00000000	0.2 spk/s	mua	323
105	16.50761795	39	54.00000000	4.3 spk/s	good	9221
107	8.13497543	7	8.00000000	14.3 spk/s	noise	30387
109	24.28459930	34	64.00000000	0.1 spk/s	mua	108
110	18.92150688	46	36.00000000	2.4 spk/s	good	5126
111	26.01163673	34	64.00000000	0.2 spk/s	noise	480
114	15.89454079	50	38.00000000	3.2 spk/s	mua	6731
115	28.45225906	27	9.00000000	0.0 spk/s	mua	13
117	23.94188499	43	34.00000000	2.2 spk/s	mua	4771
119	24.52352524	36	57.00000000	2.6 spk/s	noise	5454
124	19.88854218	32	63.00000000	1.3 spk/s	noise	2771
125	20.93050385	57	40.00000000	3.9 spk/s	noise	8250
128	20.23204994	60	53.00000000	1.2 spk/s	good	2639
129	22.46642685	34	64.00000000	7.6 spk/s	noise	16066
130	15.47670174	35	49.00000000	1.3 spk/s	mua	2856
131	41.11554718	57	40.00000000	0.1 spk/s	mua	315
132	29.23632812	45	46.00000000	3.2 spk/s	mua	6783
134	18.81270218	20	18.00000000	8.2 spk/s	noise	17319
135	21.44828796	50	38.00000000	2.5 spk/s	noise	5220
136	17.09751129	4	13.00000000	1.4 spk/s	mua	2985
137	20.53083420	23	32.00000000	1.5 spk/s	noise	3258
