id	amplitude	channel	depth	firing_rate	group	n_spikes
0	27.63188362	38	58.00000000	0.9 spk/s	good	2861
1	28.72656631	54	59.00000000	0.8 spk/s	good	2529
2	27.57727814	58	52.00000000	1.0 spk/s	mua	3108
3	23.49980927	13	22.00000000	1.9 spk/s	mua	5992
4	18.27745438	20	18.00000000	0.7 spk/s	noise	2222
5	22.50703049	29	16.00000000	5.5 spk/s	good	17407
6	24.69992065	36	57.00000000	3.7 spk/s	good	11553
7	24.56752014	40	48.00000000	3.6 spk/s	mua	11231
8	14.55868912	36	57.00000000	2.2 spk/s	mua	6902
13	23.73204041	2	12.00000000	4.1 spk/s	good	13009
14	63.21865082	18	30.00000000	17.0 spk/s	good	53270
15	44.30844116	16	29.00000000	5.2 spk/s	good	16290
16	16.75552559	6	24.00000000	1.0 spk/s	noise	3115
17	17.84228134	6	24.00000000	2.2 spk/s	noise	6814
18	26.05046654	29	16.00000000	1.5 spk/s	good	4853
19	27.50220490	39	54.00000000	5.1 spk/s	good	15902
21	26.45392799	39	54.00000000	3.7 spk/s	mua	11497
22	26.31950760	27	9.00000000	0.2 spk/s	mua	491
23	20.23324013	17	20.00000000	4.4 spk/s	good	13965
24	27.19288254	47	45.00000000	2.1 spk/s	mua	6694
26	34.20264816	41	33.00000000	5.1 spk/s	mua	15871
27	24.47960281	63	51.00000000	1.8 spk/s	mua	5643
28	23.10216331	58	52.00000000	0.6 spk/s	mua	1962
29	35.61948395	12	27.00000000	3.7 spk/s	mua	11710
32	23.35060120	50	38.00000000	4.3 spk/s	good	13596
33	33.43359375	58	52.00000000	2.8 spk/s	good	8874
34	33.79531860	20	18.00000000	4.0 spk/s	good	12668
38	29.25162506	31	15.00000000	20.4 spk/s	good	63947
41	26.88431740	35	49.00000000	6.6 spk/s	mua	20835
42	36.57002258	27	9.00000000	1.2 spk/s	good	3914
43	21.66839981	42	47.00000000	3.1 spk/s	noise	9728
44	16.28722191	15	21.00000000	0.6 spk/s	noise	1880
45	13.98717117	54	59.00000000	2.0 spk/s	noise	6363
51	18.62918091	6	24.00000000	0.1 spk/s	noise	459
52	37.43898392	12	27.00000000	1.9 spk/s	mua	6010
53	31.20232201	38	58.00000000	0.3 spk/s	good	854
54	18.33710480	19	19.00000000	1.2 spk/s	noise	3619
55	15.94839668	6	24.00000000	0.6 spk/s	noise	1870
56	26.73211288	51	43.00000000	5.6 spk/s	good	17733
57	16.06327629	6	24.00000000	0.5 spk/s	noise	1679
59	30.23077393	52	39.00000000	4.6 spk/s	good	14454
61	18.88319778	20	18.00000000	1.6 spk/s	noise	5101
63	21.20827866	4	13.00000000	6.2 spk/s	mua	19378
64	24.27509308	2	12.00000000	3.2 spk/s	mua	9908
65	19.38497353	6	24.00000000	3.0 spk/s	noise	9458
66	31.68356514	52	39.00000000	1.8 spk/s	good	5693
67	22.54278946	15	21.00000000	3.2 spk/s	noise	10088
70	22.10649109	19	19.00000000	2.6 spk/s	good	8193
71	21.91079330	6	24.00000000	0.7 spk/s	noise	2183
72	26.09596443	62	62.00000000	1.2 spk/s	good	3654
73	52.46963882	23	32.00000000	15.3 spk/s	good	48090
75	30.59274483	53	42.00000000	1.6 spk/s	mua	5168
78	18.77699280	6	24.00000000	4.6 spk/s	noise	14500
79	21.58371162	46	36.00000000	0.8 spk/s	noise	2358
81	32.78052521	11	23.00000000	4.5 spk/s	good	14016
82	28.43801880	21	31.00000000	0.0 spk/s	noise	1
83	18.98271942	4	13.00000000	12.1 spk/s	noise	37847
85	24.34207535	25	10.00000000	0.6 spk/s	good	1790
