id	amplitude	channel	depth	firing_rate	group	n_spikes
1	23.99117088	44	35.00000000	2.0 spk/s	good	5012
2	14.70441055	22	17.00000000	1.0 spk/s	good	2635
3	34.02012253	43	34.00000000	12.2 spk/s	good	30765
4	20.31126976	47	45.00000000	5.8 spk/s	noise	14573
5	35.20496368	52	39.00000000	0.3 spk/s	mua	757
7	25.88826370	61	60.00000000	0.5 spk/s	good	1321
9	27.01888657	17	20.00000000	2.3 spk/s	noise	5907
10	21.05396843	39	54.00000000	0.5 spk/s	mua	1181
11	14.02367973	23	32.00000000	20.0 spk/s	noise	50464
15	44.15227890	59	61.00000000	15.7 spk/s	good	39636
17	16.64774704	49	44.00000000	4.7 spk/s	noise	11948
19	17.24577522	22	17.00000000	0.6 spk/s	noise	1495
20	24.55763054	17	20.00000000	8.9 spk/s	good	22387
21	20.22741699	20	18.00000000	0.1 spk/s	noise	285
22	26.78272247	55	41.00000000	8.8 spk/s	mua	22155
23	20.24664688	36	57.00000000	0.3 spk/s	mua	702
24	14.66446304	2	12.00000000	2.3 spk/s	mua	5672
25	15.41612625	7	8.00000000	0.2 spk/s	noise	542
26	16.97649574	10	26.00000000	2.0 spk/s	mua	4937
28	15.75394058	2	12.00000000	0.9 spk/s	noise	2369
30	24.65516281	56	56.00000000	3.5 spk/s	mua	8852
31	18.18581772	34	64.00000000	0.5 spk/s	noise	1368
32	28.78330231	41	33.00000000	1.8 spk/s	mua	4443
33	12.19537640	16	29.00000000	5.7 spk/s	noise	14412
34	23.48635674	18	30.00000000	2.6 spk/s	good	6472
35	16.67048836	47	45.00000000	4.4 spk/s	noise	11163
36	25.42205620	33	50.00000000	5.7 spk/s	mua	14378
37	26.50107574	23	32.00000000	7.1 spk/s	noise	17866
38	20.25721169	61	60.00000000	3.3 spk/s	mua	8403
39	18.85341644	49	44.00000000	1.8 spk/s	noise	4426
40	21.83389473	38	58.00000000	4.0 spk/s	mua	10150
43	34.23432159	59	61.00000000	0.6 spk/s	good	1445
44	15.07019424	6	24.00000000	0.4 spk/s	noise	1063
45	24.31888962	18	30.00000000	4.4 spk/s	noise	11184
46	18.64025879	14	28.00000000	1.8 spk/s	noise	4466
