id	amplitude	channel	depth	firing_rate	group	n_spikes
1	27.55928993	11	23.00000000	0.2 spk/s	mua	486
3	22.12560272	19	19.00000000	0.5 spk/s	mua	1182
5	29.64668274	61	60.00000000	2.4 spk/s	mua	6322
6	25.81215668	20	18.00000000	0.1 spk/s	mua	309
7	36.15351486	50	38.00000000	2.1 spk/s	good	5438
8	22.50364304	2	12.00000000	0.9 spk/s	noise	2459
9	32.34321976	27	9.00000000	5.8 spk/s	good	15036
10	23.76550674	2	12.00000000	0.5 spk/s	good	1247
11	21.29347992	6	24.00000000	4.8 spk/s	noise	12397
12	34.54597092	10	26.00000000	1.0 spk/s	mua	2707
16	58.52638245	52	39.00000000	2.4 spk/s	good	6179
17	36.61336899	37	55.00000000	3.7 spk/s	good	9694
19	27.83279037	61	60.00000000	0.0 spk/s	noise	79
22	33.65729141	50	38.00000000	7.3 spk/s	good	18903
23	19.63794899	4	13.00000000	2.4 spk/s	noise	6170
24	33.61388016	35	49.00000000	0.3 spk/s	mua	846
25	32.77210999	27	9.00000000	7.2 spk/s	good	18725
26	43.68424225	36	57.00000000	5.7 spk/s	good	14896
28	38.00772095	43	34.00000000	4.2 spk/s	good	10827
29	42.07490540	11	23.00000000	3.1 spk/s	good	8132
30	52.93144226	18	30.00000000	15.7 spk/s	good	40738
32	31.57246399	35	49.00000000	0.9 spk/s	noise	2333
33	18.59385490	10	26.00000000	0.2 spk/s	noise	483
34	34.42856598	46	36.00000000	7.8 spk/s	good	20209
35	29.45135307	44	35.00000000	5.6 spk/s	good	14423
36	24.16072273	25	10.00000000	5.9 spk/s	mua	15342
37	27.32635498	27	9.00000000	0.5 spk/s	good	1262
38	34.39059448	48	37.00000000	3.4 spk/s	good	8807
39	16.14483643	62	62.00000000	4.7 spk/s	noise	12276
41	46.04803467	16	29.00000000	14.1 spk/s	good	36589
43	28.96369553	9	11.00000000	14.3 spk/s	mua	37118
45	21.97980309	25	10.00000000	2.5 spk/s	good	6570
46	30.73777008	37	55.00000000	0.3 spk/s	mua	796
47	30.86814880	27	9.00000000	2.2 spk/s	good	5797
48	51.53227615	57	40.00000000	10.9 spk/s	good	28344
49	21.87144279	13	22.00000000	0.4 spk/s	noise	970
50	23.84687805	45	46.00000000	0.2 spk/s	mua	637
52	24.97052002	20	18.00000000	3.5 spk/s	good	9012
53	17.20561409	6	24.00000000	0.7 spk/s	noise	1759
54	19.24234772	45	46.00000000	0.3 spk/s	mua	743
55	18.93016815	4	13.00000000	17.9 spk/s	noise	46312
56	20.71064758	6	24.00000000	2.0 spk/s	noise	5213
57	25.21339226	29	16.00000000	0.7 spk/s	mua	1898
59	17.55593109	6	24.00000000	1.4 spk/s	noise	3587
60	30.31199265	39	54.00000000	3.3 spk/s	mua	8641
61	29.42321968	41	33.00000000	7.4 spk/s	good	19104
63	35.69549942	27	9.00000000	1.4 spk/s	good	3742
64	33.79277420	37	55.00000000	0.9 spk/s	mua	2425
65	41.70927048	18	30.00000000	4.7 spk/s	good	12079
66	26.84574509	13	22.00000000	2.4 spk/s	mua	6131
69	21.74883080	2	12.00000000	6.3 spk/s	noise	16284
72	18.12496948	2	12.00000000	3.9 spk/s	noise	10059
73	36.37749863	12	27.00000000	4.1 spk/s	mua	10528
75	20.25272369	15	21.00000000	0.4 spk/s	noise	929
77	25.90968704	58	52.00000000	2.8 spk/s	mua	7357
80	34.65459442	28	1.00000000	4.6 spk/s	noise	11973
81	21.97822571	18	30.00000000	2.8 spk/s	noise	7219
83	32.92176056	57	40.00000000	0.7 spk/s	mua	1938
84	35.40678406	27	9.00000000	2.4 spk/s	good	6201
85	19.43350220	10	26.00000000	0.7 spk/s	noise	1893
87	36.02047348	54	59.00000000	1.0 spk/s	mua	2647
88	25.17471695	9	11.00000000	2.2 spk/s	good	5753
90	25.22433090	47	45.00000000	0.3 spk/s	noise	794
91	38.86708069	37	55.00000000	6.0 spk/s	good	15492
94	23.13407898	31	15.00000000	2.2 spk/s	noise	5606
99	29.21486282	42	47.00000000	0.8 spk/s	good	2201
100	18.08914566	6	24.00000000	0.7 spk/s	noise	1693
101	27.90455246	37	55.00000000	0.5 spk/s	mua	1350
102	18.48935890	20	18.00000000	1.6 spk/s	noise	4147
103	35.45104218	35	49.00000000	7.1 spk/s	good	18342
104	28.96792984	61	60.00000000	4.1 spk/s	mua	10755
105	19.25425339	10	26.00000000	1.8 spk/s	noise	4558
108	21.79663849	19	19.00000000	2.3 spk/s	noise	6086
109	18.86743355	6	24.00000000	1.5 spk/s	noise	3923
111	19.96573639	31	15.00000000	0.9 spk/s	noise	2315
112	22.78768158	15	21.00000000	1.4 spk/s	noise	3594
116	43.31237793	23	32.00000000	7.3 spk/s	good	18930
117	24.26181984	45	46.00000000	0.2 spk/s	mua	430
121	24.26933670	2	12.00000000	8.0 spk/s	good	20709
124	26.82898521	62	62.00000000	4.3 spk/s	mua	11249
126	33.69129944	23	32.00000000	12.2 spk/s	good	31577
130	31.89649391	8	25.00000000	7.9 spk/s	good	20442
131	39.22445679	21	31.00000000	11.4 spk/s	good	29463
132	33.95281982	43	34.00000000	12.9 spk/s	good	33404
134	19.53152847	31	15.00000000	2.2 spk/s	good	5619
136	40.96317291	42	47.00000000	13.0 spk/s	good	33602
138	34.21176529	33	50.00000000	6.6 spk/s	good	17061
140	20.81263351	10	26.00000000	6.0 spk/s	noise	15600
142	36.78939819	23	32.00000000	9.8 spk/s	good	25503
143	20.95988083	31	15.00000000	7.0 spk/s	noise	18084
144	25.53365707	37	55.00000000	4.1 spk/s	mua	10519
145	27.98671722	35	49.00000000	1.7 spk/s	mua	4406
147	36.50683594	21	31.00000000	7.1 spk/s	good	18291
149	25.12033081	1	14.00000000	0.8 spk/s	mua	2098
151	29.11578751	38	58.00000000	0.9 spk/s	good	2315
153	34.36061859	61	60.00000000	2.4 spk/s	good	6314
154	16.40154266	31	15.00000000	1.6 spk/s	noise	4033
158	25.99541283	19	19.00000000	13.8 spk/s	good	35785
159	23.69316483	39	54.00000000	1.1 spk/s	good	2959
161	33.33469391	35	49.00000000	0.2 spk/s	mua	446
162	44.83271790	47	45.00000000	5.1 spk/s	good	13300
164	21.82074165	39	54.00000000	3.8 spk/s	mua	9895
166	22.12738419	20	18.00000000	2.3 spk/s	mua	6082
167	27.77586365	60	53.00000000	0.8 spk/s	good	2134
168	32.87256241	57	40.00000000	1.4 spk/s	good	3501
169	38.95864105	28	1.00000000	0.7 spk/s	noise	1820
171	40.43789673	41	33.00000000	7.5 spk/s	good	19420
172	31.23338699	48	37.00000000	5.1 spk/s	good	13344
174	39.01445770	51	43.00000000	3.5 spk/s	mua	9138
175	49.59908295	18	30.00000000	13.0 spk/s	good	33619
176	30.53865433	24	6.00000000	7.2 spk/s	mua	18679
178	25.93902588	63	51.00000000	1.2 spk/s	good	3090
179	27.46046066	61	60.00000000	3.9 spk/s	mua	10078
180	26.96837616	63	51.00000000	4.6 spk/s	mua	12039
181	30.05414200	54	59.00000000	2.5 spk/s	mua	6446
182	22.01861572	2	12.00000000	2.3 spk/s	good	5969
183	27.68342590	59	61.00000000	0.3 spk/s	good	702
185	20.68051910	61	60.00000000	4.2 spk/s	mua	10790
187	42.66844177	21	31.00000000	9.9 spk/s	good	25712
189	16.40154839	31	15.00000000	0.2 spk/s	noise	490
190	46.19308090	55	41.00000000	9.3 spk/s	good	24163
191	22.03454971	17	20.00000000	1.1 spk/s	mua	2934
301	36.74362946	49	44.00000000	0.8 spk/s	mua	2104
302	50.23313141	49	44.00000000	49.1 spk/s	good	127337
305	34.38818741	31	15.00000000	37.1 spk/s	good	96142
401	31.59295464	8	25.00000000	33.1 spk/s	good	85874
532	34.41498947	26	7.00000000	19.6 spk/s	good	50807
533	49.20157623	53	42.00000000	23.3 spk/s	good	60325
664	43.99083710	16	29.00000000	16.9 spk/s	good	43909
667	27.94992638	63	51.00000000	0.5 spk/s	mua	1214
669	20.21570969	46	36.00000000	0.5 spk/s	mua	1337
673	28.42245674	60	53.00000000	0.7 spk/s	mua	1786
675	31.52310562	57	40.00000000	0.5 spk/s	good	1261
809	41.70415497	14	28.00000000	5.2 spk/s	good	13462
819	45.10272217	14	28.00000000	1.6 spk/s	mua	4165
820	42.60523605	14	28.00000000	13.1 spk/s	good	33991
821	31.15656662	47	45.00000000	2.8 spk/s	mua	7335
822	33.54918671	38	58.00000000	7.8 spk/s	good	20248
861	34.90893555	13	22.00000000	5.2 spk/s	good	13489
862	30.65481758	39	54.00000000	1.1 spk/s	good	2928
1018	70.42845154	52	39.00000000	27.6 spk/s	good	71443
1019	39.47139740	14	28.00000000	2.3 spk/s	good	6055
1020	35.36787033	38	58.00000000	1.4 spk/s	good	3622
1021	25.80664825	17	20.00000000	0.7 spk/s	mua	1929
1022	37.25597000	61	60.00000000	0.5 spk/s	mua	1392
1023	33.97050476	10	26.00000000	0.7 spk/s	mua	1932
