id	amplitude	channel	depth	firing_rate	group	n_spikes
0	32.51435089	16	29.00000000	2.5 spk/s	good	5676
1	38.55552673	22	17.00000000	2.9 spk/s	good	6604
2	19.15775299	34	64.00000000	0.1 spk/s	noise	300
3	29.21134758	47	45.00000000	2.5 spk/s	good	5666
4	27.30105591	10	26.00000000	1.8 spk/s	mua	4160
7	34.14689636	16	29.00000000	3.0 spk/s	good	6851
8	39.97007751	47	45.00000000	9.5 spk/s	good	21836
9	107.31614685	28	1.00000000	3.1 spk/s	good	7204
10	97.85450745	28	1.00000000	0.9 spk/s	good	1984
12	19.82741165	34	64.00000000	0.6 spk/s	noise	1265
13	19.40639496	6	24.00000000	0.5 spk/s	noise	1056
14	31.31447601	16	29.00000000	0.4 spk/s	good	835
15	27.27876854	52	39.00000000	3.1 spk/s	good	7228
16	48.53451920	20	18.00000000	23.0 spk/s	noise	52757
17	25.44004822	58	52.00000000	0.6 spk/s	mua	1277
18	25.43137550	63	51.00000000	3.8 spk/s	good	8819
19	18.35755539	17	20.00000000	2.5 spk/s	mua	5632
20	41.86810303	6	24.00000000	12.2 spk/s	good	28076
21	46.73542404	20	18.00000000	27.1 spk/s	noise	62320
22	40.40734100	20	18.00000000	2.4 spk/s	good	5450
27	41.37879562	0	3.00000000	0.2 spk/s	mua	471
28	22.56536674	46	36.00000000	4.4 spk/s	mua	10181
30	23.15278244	20	18.00000000	0.7 spk/s	noise	1673
32	26.83499146	42	47.00000000	0.8 spk/s	mua	1857
33	29.15667725	46	36.00000000	3.5 spk/s	good	8094
34	95.52687073	28	1.00000000	0.7 spk/s	noise	1497
35	23.18491745	20	18.00000000	2.0 spk/s	noise	4700
36	24.51318741	6	24.00000000	0.5 spk/s	noise	1260
37	106.05832672	28	1.00000000	1.8 spk/s	good	4152
38	18.90628815	28	1.00000000	2.3 spk/s	noise	5243
39	18.10084534	56	56.00000000	0.2 spk/s	noise	407
40	23.17569733	34	64.00000000	0.4 spk/s	noise	840
41	89.36460876	28	1.00000000	8.4 spk/s	good	19337
44	25.21806717	6	24.00000000	1.0 spk/s	noise	2208
