cluster_id	group
0	noise
1	good
2	mua
3	noise
4	good
9	good
11	mua
17	noise
19	good
20	noise
21	good
22	noise
23	noise
26	noise
28	mua
29	noise
31	good
34	noise
35	noise
36	noise
37	noise
39	good
41	mua
42	good
43	good
47	good
50	noise
54	noise
57	mua
58	mua
61	noise
62	noise
64	noise
65	mua
66	noise
69	noise
70	good
71	good
72	good
73	good
74	noise
78	good
80	noise
81	noise
82	mua
84	good
86	mua
88	good
89	good
91	noise
93	mua
95	noise
98	good
102	mua
103	noise
106	noise
107	mua
108	mua
109	mua
111	mua
112	mua
116	mua
117	noise
118	good
119	noise
120	noise
125	noise
126	noise
132	noise
134	good
135	noise
136	good
138	noise
139	mua
140	mua
145	good
151	noise
154	noise
155	good
156	noise
158	mua
159	noise
162	noise
168	noise
169	good
170	mua
172	mua
173	noise
175	noise
176	good
178	good
179	mua
180	good
181	good
182	noise
184	good
185	noise
186	mua
187	mua
189	mua
190	noise
319	good
320	good
322	good
323	good
414	good
416	good
492	mua
498	good
499	good
563	good
564	noise
565	noise
706	good
707	good
709	mua
710	good
730	good
877	good
878	noise
955	mua
959	good
1180	good
1181	mua
1183	good
1309	mua
1594	good
1595	mua
1597	mua
1598	mua
1599	mua
