id	amplitude	channel	depth	firing_rate	group	n_spikes
0	24.95045090	53	42.00000000	0.2 spk/s	mua	531
2	15.87575531	6	24.00000000	0.4 spk/s	noise	869
3	15.36944008	6	24.00000000	3.8 spk/s	noise	9235
4	33.30813980	23	32.00000000	2.1 spk/s	good	5060
5	17.13696671	4	13.00000000	0.5 spk/s	noise	1087
8	28.40141678	14	28.00000000	2.0 spk/s	good	4754
9	22.74271011	11	23.00000000	3.2 spk/s	good	7797
10	22.74343491	15	21.00000000	3.1 spk/s	good	7604
12	19.45493126	39	54.00000000	2.0 spk/s	mua	4911
13	17.78230095	6	24.00000000	0.2 spk/s	noise	507
14	30.75031853	21	31.00000000	1.2 spk/s	mua	2833
15	15.66454315	4	13.00000000	6.9 spk/s	noise	16753
16	24.46781158	53	42.00000000	1.3 spk/s	good	3234
18	15.04655457	9	11.00000000	6.3 spk/s	noise	15252
20	17.06040573	8	25.00000000	3.9 spk/s	noise	9384
21	25.41039276	14	28.00000000	0.3 spk/s	mua	816
22	34.68335724	49	44.00000000	3.6 spk/s	mua	8601
24	23.21722031	49	44.00000000	1.3 spk/s	noise	3082
25	32.84371567	43	34.00000000	2.4 spk/s	good	5813
26	19.58316231	15	21.00000000	0.1 spk/s	noise	347
28	15.30099964	2	12.00000000	1.8 spk/s	noise	4432
29	24.14286995	44	35.00000000	1.5 spk/s	mua	3736
30	28.23867989	55	41.00000000	0.6 spk/s	good	1528
31	31.70572472	47	45.00000000	0.4 spk/s	mua	961
32	21.79082870	15	21.00000000	2.9 spk/s	good	7123
33	28.11167717	52	39.00000000	0.9 spk/s	mua	2131
34	18.46583366	59	61.00000000	0.3 spk/s	noise	612
35	17.68761444	21	31.00000000	0.3 spk/s	noise	821
36	15.29192924	13	22.00000000	0.4 spk/s	noise	914
37	31.11392975	44	35.00000000	1.2 spk/s	good	3009
39	16.31542206	4	13.00000000	3.8 spk/s	noise	9125
41	14.02869225	2	12.00000000	0.3 spk/s	mua	661
42	16.91083527	8	25.00000000	0.6 spk/s	noise	1397
43	15.30896187	6	24.00000000	0.5 spk/s	noise	1282
45	19.97927475	15	21.00000000	0.3 spk/s	noise	617
47	16.98300171	6	24.00000000	0.4 spk/s	noise	878
50	32.52150345	53	42.00000000	4.4 spk/s	mua	10693
51	21.74374390	18	30.00000000	0.5 spk/s	noise	1326
52	17.14103127	6	24.00000000	1.7 spk/s	noise	4140
53	37.41872406	47	45.00000000	6.9 spk/s	mua	16640
55	33.24450684	12	27.00000000	5.6 spk/s	mua	13438
56	17.16287231	36	57.00000000	0.1 spk/s	mua	216
57	14.02407265	4	13.00000000	2.0 spk/s	mua	4911
58	35.78992081	43	34.00000000	2.1 spk/s	good	5176
59	18.28377914	15	21.00000000	1.3 spk/s	noise	3083
60	19.77264404	61	60.00000000	3.0 spk/s	noise	7260
61	17.16551208	49	44.00000000	1.2 spk/s	noise	2907
62	19.97928047	15	21.00000000	0.6 spk/s	noise	1518
63	18.52641296	8	25.00000000	0.3 spk/s	noise	692
66	24.11942291	33	50.00000000	6.7 spk/s	noise	16120
67	31.70573425	47	45.00000000	1.3 spk/s	mua	3065
68	20.69667435	39	54.00000000	0.3 spk/s	mua	829
69	20.81118011	14	28.00000000	0.8 spk/s	noise	2034
70	13.73386002	33	50.00000000	0.9 spk/s	mua	2105
71	16.98300171	6	24.00000000	0.2 spk/s	noise	417
72	14.82341862	13	22.00000000	2.1 spk/s	noise	5022
73	21.85829544	55	41.00000000	1.7 spk/s	mua	4023
75	19.57163048	8	25.00000000	0.8 spk/s	noise	2045
76	30.31745720	47	45.00000000	13.9 spk/s	good	33604
78	50.88852310	41	33.00000000	5.9 spk/s	good	14245
79	19.92326736	37	55.00000000	1.3 spk/s	mua	3145
80	15.23268986	38	58.00000000	0.1 spk/s	mua	276
83	27.42747879	48	37.00000000	6.1 spk/s	good	14768
84	16.88550949	10	26.00000000	0.0 spk/s	noise	73
85	15.85510063	6	24.00000000	1.2 spk/s	noise	2855
87	14.53433228	49	44.00000000	0.9 spk/s	noise	2109
89	26.91133499	52	39.00000000	6.0 spk/s	good	14378
90	33.91754913	18	30.00000000	10.1 spk/s	good	24303
91	21.75445175	35	49.00000000	2.4 spk/s	good	5879
92	19.94527817	58	52.00000000	1.5 spk/s	mua	3620
94	22.99036407	40	48.00000000	1.5 spk/s	good	3685
96	20.79568291	62	62.00000000	1.0 spk/s	noise	2535
99	19.58888626	15	21.00000000	0.2 spk/s	noise	568
101	15.01892471	35	49.00000000	1.4 spk/s	noise	3355
103	33.34640121	10	26.00000000	2.4 spk/s	good	5758
104	16.61062431	7	8.00000000	4.1 spk/s	noise	9988
105	18.47729683	8	25.00000000	0.1 spk/s	noise	217
106	23.21268845	59	61.00000000	1.1 spk/s	noise	2728
108	27.63378906	47	45.00000000	1.1 spk/s	mua	2697
109	24.93859100	35	49.00000000	1.2 spk/s	good	2924
110	17.61610794	37	55.00000000	1.9 spk/s	mua	4539
111	24.20568848	45	46.00000000	1.5 spk/s	good	3549
112	18.32132149	59	61.00000000	1.2 spk/s	noise	2844
113	20.62773895	4	13.00000000	10.7 spk/s	noise	25871
114	16.23198891	55	41.00000000	0.1 spk/s	noise	167
115	26.33078766	52	39.00000000	2.4 spk/s	mua	5858
118	39.32804489	51	43.00000000	5.0 spk/s	mua	12189
119	30.35470009	21	31.00000000	9.1 spk/s	good	22059
120	17.47220230	6	24.00000000	2.3 spk/s	noise	5518
121	19.27292442	40	48.00000000	0.4 spk/s	noise	947
122	28.32303810	48	37.00000000	2.3 spk/s	good	5504
123	8.16295815	39	54.00000000	3.1 spk/s	noise	7376
124	18.42749023	15	21.00000000	1.6 spk/s	noise	3902
125	17.16287041	36	57.00000000	0.4 spk/s	mua	990
126	22.00198746	8	25.00000000	0.1 spk/s	noise	277
128	17.13696098	4	13.00000000	2.3 spk/s	noise	5648
129	22.06433105	33	50.00000000	1.2 spk/s	mua	2807
130	36.93736267	49	44.00000000	2.4 spk/s	mua	5782
131	17.47626114	17	20.00000000	3.8 spk/s	good	9241
132	18.19876480	19	19.00000000	0.5 spk/s	noise	1319
133	14.53433037	49	44.00000000	2.3 spk/s	noise	5490
134	16.39541054	6	24.00000000	0.9 spk/s	noise	2280
135	17.99598312	4	13.00000000	7.1 spk/s	noise	17133
136	13.31800652	15	21.00000000	1.5 spk/s	mua	3691
137	25.07990265	12	27.00000000	5.4 spk/s	mua	12939
138	23.23725510	36	57.00000000	0.2 spk/s	noise	443
139	26.96849442	49	44.00000000	0.6 spk/s	mua	1357
140	20.95700645	34	64.00000000	0.6 spk/s	noise	1522
141	15.92096806	59	61.00000000	0.8 spk/s	noise	1974
144	17.59815979	11	23.00000000	6.9 spk/s	good	16618
145	36.40719604	52	39.00000000	6.2 spk/s	good	14889
147	23.36659241	45	46.00000000	1.8 spk/s	good	4342
148	17.90826797	34	64.00000000	0.1 spk/s	noise	183
149	18.50107574	15	21.00000000	1.1 spk/s	noise	2755
151	24.08814621	46	36.00000000	1.1 spk/s	noise	2759
152	32.65926743	47	45.00000000	3.8 spk/s	mua	9176
153	18.47730255	8	25.00000000	0.4 spk/s	noise	1074
154	22.70549011	37	55.00000000	0.2 spk/s	mua	564
155	18.70845413	29	16.00000000	0.3 spk/s	mua	687
156	26.96849442	49	44.00000000	0.2 spk/s	mua	542
157	23.55308914	15	21.00000000	0.2 spk/s	noise	577
158	16.12307358	39	54.00000000	3.5 spk/s	mua	8508
